Role,Text,Outcome
Web Developer,"Lead professional with 5 years of experience. Bachelor's in Data Science. Skills include Biology, Mechanical Engineering, Financial Modeling. Knowledge of Healthcare Management, Chemistry. ",0
Software Engineer,"Mid-level professional with 9 years of experience. Bachelor's in Data Science. Proficient in Software Development, Algorithms, Debugging. Experienced with System Design, Docker, Communication. Completed projects involving . Strong background in .",1
Software Engineer,"Junior professional with 10 years of experience. Bachelor's in Mathematics. Proficient in Version Control, Computer Science, Data Structures. Experienced with Software Development, Documentation, Communication. Completed projects involving Docker, Spring. Strong background in C#, Object-Oriented Programming.",1
Software Engineer,"Junior professional with 7 years of experience. Master's in Data Science. Proficient in Database Design, Python, Software Architecture. Experienced with Spring, Communication, Debugging. Completed projects involving Microservices, Java. Strong background in Unit Testing.",1
Software Engineer,"Lead professional with 4 years of experience. Bachelor's in Mathematics. Skills include Psychology, Financial Analysis, Biology. Knowledge of Graphic Design, Healthcare, Content Marketing. ",0
Data Scientist,"Lead professional with 8 years of experience. Master's in Mathematics. Skills include Sales, Customer Service, Mathematics. Knowledge of Marketing, Tableau, Data Mining. ",0
AI/ML Engineer,"Mid-level professional with 4 years of experience. Bachelor's in Engineering. Proficient in Mathematics, Algorithms, Model Training. Experienced with Data Preprocessing, GPU Acceleration, PyTorch. Completed projects involving Model Deployment, Data Structures. Strong background in Keras, Python.",1
Web Developer,"Junior professional with 7 years of experience. Master's in Computer Science. Proficient in Problem Solving, DevOps, Webpack. Experienced with Frontend Development, Responsive Design, GraphQL. Completed projects involving MongoDB, Bootstrap. Strong background in Flask.",1
Software Engineer,"Senior professional with 4 years of experience. Bachelor's in Mathematics. Proficient in C++, System Design, Data Structures. Experienced with Communication, .NET, C#. Completed projects involving Documentation, Agile. Strong background in Version Control, Problem Solving.",1
Data Scientist,"Lead professional with 5 years of experience. Master's in Information Technology. Proficient in Critical Thinking, Statistical Analysis, PyTorch. Experienced with Pandas, Mathematics, Hypothesis Testing. Completed projects involving Data Mining, Power BI. Strong background in Data Visualization.",1
Data Scientist,"Lead professional with 10 years of experience. PhD in Computer Science. Skills include Sales, Accounting, Marketing. Knowledge of Project Management, Customer Service, Content Writing. Worked on projects involving HR Management. ",0
Software Engineer,"Junior professional with 2 years of experience. PhD in Computer Science. Skills include Psychology, Data Structures, Content Marketing. Knowledge of Financial Analysis, Biology. ",0
AI/ML Engineer,"Lead professional with 9 years of experience. PhD in Statistics. Proficient in Deep Learning, Computer Vision, Data Structures. Experienced with Statistics, Algorithms, Mathematics. Completed projects involving Python, Neural Networks. Strong background in .",1
Web Developer,"Entry-level professional with 6 years of experience. Bachelor's in Computer Science. Proficient in Express.js, Angular, Web Design. Experienced with CSS, DevOps, WordPress. Completed projects involving Vue.js, AJAX. Strong background in UI/UX.",1
Software Engineer,"Junior professional with 4 years of experience. Master's in Mathematics. Proficient in Computer Science, .NET, Communication. Experienced with Problem Solving, Spring, Git. Completed projects involving Software Development, Microservices. Strong background in System Design, Java.",1
AI/ML Engineer,"Entry-level professional with 2 years of experience. Bachelor's in Data Science. Proficient in Deep Learning, Research, Machine Learning. Experienced with Transfer Learning, Data Structures, Scikit-learn. Completed projects involving CUDA, Model Deployment. Strong background in Mathematics.",1
Software Engineer,"Senior professional with 5 years of experience. Bachelor's in Computer Science. Skills include Content Marketing, Biology, Financial Analysis. Knowledge of Psychology, Graphic Design. ",0
AI/ML Engineer,"Mid-level professional with 6 years of experience. Master's in Information Technology. Skills include Marketing, Project Management, Transfer Learning. Knowledge of Sales, Model Deployment, Content Creation. ",0
Software Engineer,"Mid-level professional with 3 years of experience. Bachelor's in Information Technology. Proficient in JavaScript, Spring, Computer Science. Experienced with Documentation, Docker, Python. Completed projects involving C#. Strong background in .",1
Data Scientist,"Junior professional with 2 years of experience. Master's in Data Science. Skills include HR Management, Sales, Project Management. Knowledge of Content Writing, Accounting. ",0
Software Engineer,"Mid-level professional with 7 years of experience. Bachelor's in Data Science. Proficient in Kubernetes, JavaScript, Object-Oriented Programming. Experienced with Microservices, Database Design, Agile. Completed projects involving Documentation, Software Development. Strong background in .",1
Web Developer,"Junior professional with 8 years of experience. Bachelor's in Data Science. Skills include Biology, Data Analysis, Mechanical Engineering. Knowledge of Frontend Development, Financial Modeling. ",0
Web Developer,"Senior professional with 4 years of experience. Bachelor's in Engineering. Skills include Biology, Financial Modeling, Mechanical Engineering. Knowledge of jQuery, UI/UX. ",0
Data Scientist,"Lead professional with 9 years of experience. Master's in Data Science. Proficient in Mathematics, Scikit-learn, Data Warehousing. Experienced with Data Visualization, Research, PyTorch. Completed projects involving Critical Thinking. Strong background in .",1
Data Scientist,"Junior professional with 3 years of experience. Bachelor's in Computer Science. Proficient in A/B Testing, Data Mining, SQL. Experienced with Research, Power BI, Data Warehousing. Completed projects involving NumPy, Pandas. Strong background in Big Data.",1
Software Engineer,"Lead professional with 1 years of experience. Bachelor's in Engineering. Proficient in Software Development, Computer Science, System Design. Experienced with Software Architecture, JavaScript, Object-Oriented Programming. Completed projects involving C++, Communication. Strong background in Docker.",1
AI/ML Engineer,"Junior professional with 5 years of experience. Master's in Engineering. Skills include Content Creation, Marketing, Project Management. Knowledge of Accounting, Customer Support, Sales. ",0
Software Engineer,"Mid-level professional with 4 years of experience. PhD in Statistics. Skills include Financial Analysis, Healthcare, Graphic Design. Knowledge of Biology, JavaScript, Content Marketing. ",0
AI/ML Engineer,"Mid-level professional with 5 years of experience. Bachelor's in Data Science. Skills include Transfer Learning, Content Creation, Project Management. Knowledge of TensorFlow, Sales, Deep Learning. ",0
Software Engineer,"Lead professional with 4 years of experience. Bachelor's in Information Technology. Skills include Healthcare, Biology, Content Marketing. Knowledge of Agile. ",0
Web Developer,"Lead professional with 2 years of experience. Bachelor's in Computer Science. Skills include Chemistry, Healthcare Management, Mechanical Engineering. Knowledge of Financial Modeling, Biology, Data Analysis. ",0
Data Scientist,"Mid-level professional with 2 years of experience. Master's in Engineering. Proficient in Research, Data Mining, NumPy. Experienced with Data Modeling, A/B Testing, Statistics. Completed projects involving Critical Thinking, PyTorch. Strong background in Computer Science, Power BI.",1
